entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2014-11-25,2014-12-03,171.1313,171.5939,169,78.19,15.3118,15.3661,30.678,False,5,"PRE_HOLIDAY,TOM",CALENDAR,IS,158
2014-12-15,2014-12-18,164.8518,170.6776,176,1025.34,15.4037,15.942,31.3457,False,3,OEX,CALENDAR,IS,159
2014-12-23,2014-12-24,172.6076,172.4413,174,-28.94,15.9116,15.9133,31.8249,False,1,PRE_HOLIDAY,CALENDAR,IS,160
2014-12-30,2015-01-06,172.4829,165.8429,174,-1155.36,15.9008,15.3391,31.2399,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,161
2015-01-12,2015-01-16,168.3704,167.3451,171,-175.33,15.2779,15.2026,30.4805,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,162
2015-01-29,2015-02-04,167.8221,169.3621,170,261.79,15.1385,15.2852,30.4238,False,4,TOM,CALENDAR,IS,163
2015-02-12,2015-02-13,173.5796,174.1096,166,87.97,15.2601,15.3188,30.5789,False,1,PRE_HOLIDAY,CALENDAR,IS,164
2015-02-17,2015-02-19,174.5683,174.2756,166,-48.59,15.3413,15.3328,30.6741,False,2,OEX,CALENDAR,IS,165
2015-02-26,2015-03-04,175.6235,174.4831,165,-188.15,15.3305,15.2462,30.5767,False,4,TOM,CALENDAR,IS,166
2015-03-16,2015-03-19,173.2972,173.8772,166,96.28,15.2321,15.2966,30.5287,False,3,OEX,CALENDAR,IS,167
2015-03-30,2015-04-06,173.7953,173.2611,166,-88.68,15.2772,15.2474,30.5246,False,4,TOM,CALENDAR,IS,168
2015-04-13,2015-04-16,174.4962,175.3787,165,145.62,15.239,15.3245,30.5635,False,3,OEX,CALENDAR,IS,169
2015-04-29,2015-05-05,175.7313,174.1531,164,-258.83,15.2411,15.1318,30.3729,False,4,TOM,CALENDAR,IS,170
