ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,total_cost,pnl,exit_type,hold_trading_days,atr_stop,liquidity_constrained
IWM,2014-08-15,2014-08-21,98.0447,98.6872,355.5909,228.4573,7.232,221.2253,time,4,95.3695,False
IWM,2014-09-19,2014-09-22,99.2783,96.9751,352.9727,-812.9617,7.1587,-820.1204,stop,1,96.9751,False
QQQ,2014-09-19,2014-09-25,91.9404,90.1639,381.6866,-678.0593,7.4471,-685.5064,stop,4,90.1639,False
SPY,2014-10-21,2014-10-27,157.4612,161.1414,219.6767,808.4522,5.7886,802.6636,time,4,151.8035,False
QQQ,2014-10-23,2014-10-29,89.085,91.3456,388.9583,879.2794,7.6515,871.6279,time,4,85.6138,False
SPY,2014-10-28,2014-11-03,161.6835,165.7498,216.5777,880.6755,5.8056,874.8699,time,4,156.0658,False
IWM,2014-11-05,2014-11-11,100.2211,100.8223,353.621,212.6221,7.2966,205.3254,time,4,96.6856,False
SPY,2014-11-11,2014-11-17,167.6311,167.8857,211.8266,53.9299,5.7361,48.1938,time,4,164.4989,False
SPY,2014-11-25,2014-12-02,170.4898,170.1201,208.369,-77.0328,5.6709,-82.7037,time,4,168.4654,False
SPY,2014-12-23,2014-12-30,171.9512,171.4803,206.4378,-97.2024,5.6943,-102.8968,time,4,166.6708,False
QQQ,2014-12-23,2014-12-30,96.4167,95.8288,367.7421,-216.185,7.4339,-223.6189,time,4,93.5906,False
IWM,2014-12-23,2014-12-30,103.4595,103.7589,342.2831,102.4538,7.2318,95.2221,time,4,99.9253,False
QQQ,2015-02-06,2015-02-12,95.4614,97.3721,371.0412,708.9513,7.5312,701.4201,time,4,92.3316,False
SPY,2015-02-10,2015-02-17,170.0596,173.5536,207.525,725.099,5.7235,719.3755,time,4,165.4067,False
QQQ,2015-03-20,2015-03-25,100.1004,97.8839,358.5772,-794.7714,7.3515,-802.1229,stop,3,97.8839,False
IWM,2015-03-20,2015-03-26,108.0872,105.5891,331.1657,-827.2804,7.0464,-834.3268,stop,4,105.7025,False
SPY,2015-03-30,2015-04-06,171.7313,172.4366,205.8345,145.1569,5.6811,139.4758,time,4,167.7989,False
SPY,2015-04-27,2015-04-30,176.1702,173.3137,200.9121,-573.9085,5.5778,-579.4863,stop,3,173.3137,False
IWM,2015-05-20,2015-05-27,108.2528,107.8895,325.1792,-118.1294,6.9541,-125.0835,time,4,105.5125,False
IWM,2015-06-22,2015-06-26,111.0635,110.2679,316.5743,-251.8907,6.8271,-258.7178,time,4,108.5851,False
SPY,2015-07-16,2015-07-22,176.6436,176.2267,198.5559,-82.7735,5.565,-88.3384,time,4,172.5952,False
QQQ,2015-07-16,2015-07-22,102.7023,103.9297,340.8216,418.3115,7.186,411.1255,time,4,99.9483,False
QQQ,2015-10-28,2015-11-03,104.7653,106.3934,335.8098,546.7329,7.1169,539.616,time,4,102.22,False
SPY,2015-11-11,2015-11-13,175.0562,171.2597,201.9986,-766.878,5.5922,-772.4702,trend_break,2,171.6177,False
SPY,2015-11-20,2015-11-27,175.5339,175.6261,199.9819,18.4331,5.5893,12.8437,time,4,171.7949,False
QQQ,2015-11-20,2015-11-27,105.6904,105.7459,331.6516,18.4039,7.0307,11.3732,time,4,103.0975,False
QQQ,2015-12-22,2015-12-29,103.5913,106.0596,338.9441,836.6004,7.2195,829.3809,time,4,99.8053,False
QQQ,2016-03-28,2016-04-01,100.1016,102.7074,353.5223,921.2205,7.3332,913.8874,time,4,97.8781,False
QQQ,2016-04-26,2016-04-28,101.6372,99.038,351.1783,-912.78,7.2615,-920.0415,stop,2,99.038,False
SPY,2016-05-10,2016-05-16,175.1759,175.2267,202.0032,10.2623,5.6249,4.6374,time,4,172.1736,False
SPY,2016-05-24,2016-05-31,174.7097,177.8198,202.551,629.9379,5.6724,624.2656,time,4,171.308,False
QQQ,2016-05-31,2016-06-06,102.6329,102.8005,346.8255,58.1069,7.256,50.8509,time,4,100.164,False
QQQ,2016-07-08,2016-07-14,101.8985,104.4926,349.4915,906.6179,7.4705,899.1474,time,4,98.6508,False
SPY,2016-07-14,2016-07-20,184.3323,184.9201,194.8241,114.5151,5.6603,108.8549,time,4,179.2421,False
SPY,2016-08-04,2016-08-10,184.2557,185.3886,195.1021,221.0283,5.6043,215.424,time,4,181.9327,False
SPY,2016-08-15,2016-08-19,186.4535,186.1553,193.1875,-57.6098,5.5727,-63.1825,time,4,184.0392,False
QQQ,2016-08-15,2016-08-19,109.5036,109.4196,328.7195,-27.6032,7.0196,-34.6228,time,4,107.9292,False
QQQ,2016-09-19,2016-09-23,110.0025,110.6947,327.1552,226.4705,7.1198,219.3507,time,4,107.6574,False
QQQ,2016-10-04,2016-10-10,111.2279,111.5273,324.208,97.0468,7.0711,89.9757,time,4,109.0948,False
SPY,2016-10-18,2016-10-24,183.4143,183.9708,196.773,109.5008,5.646,103.8549,time,4,180.0351,False
QQQ,2016-10-18,2016-10-24,110.5825,111.8547,325.4187,414.0109,7.0624,406.9485,time,4,108.5685,False
