z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
45,1.25,0.55,5,150,0.5787,0.0706,-0.2302,1.9787,377,376,0.5676,1.4363,33.81,1.5211
45,1.25,0.55,5,200,0.6394,0.0801,-0.2089,2.4284,378,377,0.5873,1.4844,37.3,1.3033
45,1.25,0.6,2,150,0.4878,0.0576,-0.2599,1.4499,541,540,0.5564,1.3087,20.83,1.7761
45,1.25,0.6,2,200,0.4552,0.0532,-0.283,1.2921,522,521,0.5709,1.2774,19.97,1.377
45,1.25,0.6,3,150,0.5103,0.0613,-0.2637,1.5898,472,471,0.5784,1.336,24.66,1.6892
45,1.25,0.6,3,200,0.5036,0.061,-0.2749,1.5782,460,459,0.5696,1.3209,25.02,1.3538
45,1.25,0.6,5,150,0.5816,0.071,-0.2296,1.998,377,376,0.5703,1.4395,34.08,1.6028
45,1.25,0.6,5,200,0.6432,0.0807,-0.2082,2.4602,378,377,0.5873,1.4887,37.64,1.3889
45,1.25,0.65,2,150,0.4905,0.058,-0.2603,1.4652,541,540,0.5601,1.3116,21.03,1.8555
45,1.25,0.65,2,200,0.4554,0.0533,-0.2825,1.2947,522,521,0.5728,1.2787,20.08,1.463
45,1.25,0.65,3,150,0.5113,0.0615,-0.2657,1.5974,472,471,0.5784,1.3374,24.81,1.7697
45,1.25,0.65,3,200,0.5027,0.0609,-0.2777,1.5763,460,459,0.5696,1.3216,25.1,1.4398
45,1.25,0.65,5,150,0.5843,0.0715,-0.2289,2.0171,377,376,0.5676,1.4419,34.34,1.685
45,1.25,0.65,5,200,0.6468,0.0813,-0.2075,2.4918,378,377,0.5847,1.4925,37.98,1.475
45,1.25,0.7,2,150,0.493,0.0584,-0.2608,1.4804,541,540,0.5638,1.3143,21.23,1.9353
45,1.25,0.7,2,200,0.4553,0.0534,-0.2821,1.297,522,521,0.5747,1.2798,20.19,1.5494
45,1.25,0.7,3,150,0.5121,0.0617,-0.2677,1.6048,472,471,0.5784,1.3387,24.96,1.8505
45,1.25,0.7,3,200,0.5016,0.0609,-0.2805,1.5741,460,459,0.5696,1.3222,25.17,1.5263
45,1.25,0.7,5,150,0.5867,0.0719,-0.2283,2.036,377,376,0.5756,1.4441,34.6,1.7676
45,1.25,0.7,5,200,0.6502,0.0819,-0.2068,2.5234,378,377,0.5926,1.496,38.32,1.5615
45,1.5,0.55,2,150,0.4575,0.0535,-0.2435,1.301,490,489,0.5551,1.3171,21.56,1.8899
45,1.5,0.55,2,200,0.425,0.0491,-0.2898,1.1534,473,472,0.5603,1.2805,20.52,1.4136
45,1.5,0.55,3,150,0.476,0.0562,-0.2769,1.3972,434,433,0.5783,1.3518,25.02,1.8959
45,1.5,0.55,3,200,0.4706,0.0562,-0.2846,1.3999,420,419,0.5619,1.336,25.49,1.4094
45,1.5,0.55,5,150,0.5721,0.0694,-0.2352,1.9256,340,339,0.5912,1.4663,36.99,1.7559
45,1.5,0.55,5,200,0.6014,0.0742,-0.2139,2.141,338,337,0.6036,1.4877,39.02,1.4409
45,1.5,0.6,2,150,0.4583,0.0536,-0.2414,1.3052,490,489,0.5531,1.3192,21.67,1.965
45,1.5,0.6,2,200,0.4261,0.0493,-0.2894,1.1591,473,472,0.5581,1.2827,20.65,1.4963
45,1.5,0.6,3,150,0.4752,0.0561,-0.2784,1.3947,434,433,0.576,1.3529,25.06,1.9706
45,1.5,0.6,3,200,0.4695,0.0561,-0.2866,1.3957,420,419,0.5595,1.3369,25.53,1.4919
45,1.5,0.6,5,150,0.5753,0.0699,-0.2351,1.946,340,339,0.5912,1.4705,37.28,1.8332
45,1.5,0.6,5,200,0.6041,0.0746,-0.2131,2.1616,338,337,0.6006,1.4918,39.31,1.5234
45,1.5,0.65,2,150,0.4591,0.0537,-0.2393,1.3091,490,489,0.5592,1.3212,21.78,2.0405
45,1.5,0.65,2,200,0.4272,0.0495,-0.2891,1.1646,473,472,0.5624,1.285,20.79,1.5795
45,1.5,0.65,3,150,0.4743,0.056,-0.2799,1.392,434,433,0.5829,1.3539,25.11,2.0457
45,1.5,0.65,3,200,0.4682,0.056,-0.2886,1.3913,420,419,0.5667,1.3378,25.57,1.5749
45,1.5,0.65,5,150,0.5783,0.0703,-0.2351,1.9664,340,339,0.5941,1.4743,37.57,1.9109
45,1.5,0.65,5,200,0.6067,0.075,-0.2122,2.182,338,337,0.6036,1.4958,39.59,1.6064
45,1.5,0.7,2,150,0.4597,0.0538,-0.2372,1.313,490,489,0.5592,1.3231,21.89,2.1164
45,1.5,0.7,2,200,0.4281,0.0496,-0.2888,1.17,473,472,0.5624,1.2872,20.93,1.663
