ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLI,2012-04-10,2012-04-13,28.0881,28.235,789,115.86,15.1759,15.2534,30.4292,False,3,RSI_EXIT,True,True,False,IS
XLP,2012-04-11,2012-04-17,23.1364,23.3504,957,204.82,15.9828,16.1188,32.1016,False,4,RSI_EXIT,True,True,True,IS
XLV,2012-04-11,2012-04-18,29.3063,29.3696,755,47.79,14.9909,15.0582,30.0492,False,5,RSI_EXIT,True,True,True,IS
XLK,2012-05-08,2012-05-16,12.0206,11.8527,1860,-312.32,20.7137,20.5281,41.2418,False,6,MAX_HOLD,True,True,True,IS
XLI,2012-05-09,2012-05-17,27.578,27.0304,809,-442.99,15.3449,15.114,30.4589,False,6,MAX_HOLD,True,True,True,IS
SPY,2012-05-10,2012-05-18,106.9397,102.7648,209,-872.55,2.1827,2.1366,4.3193,False,6,MAX_HOLD,True,True,True,IS
QQQ,2012-05-14,2012-05-22,56.3669,55.5184,393,-333.47,3.1372,3.1286,6.2657,False,6,RSI_EXIT,True,True,True,IS
IWM,2012-05-17,2012-05-22,63.721,63.0443,345,-233.47,2.8815,2.8742,5.7557,False,3,RSI_EXIT,True,True,True,IS
XLK,2012-05-17,2012-05-22,11.7415,11.7486,1877,13.45,20.5966,20.6682,41.2648,False,3,RSI_EXIT,True,True,True,IS
XLI,2012-05-18,2012-05-22,26.5962,27.0304,817,354.7,15.0624,15.2752,30.3375,False,2,RSI_EXIT,True,True,True,IS
SPY,2012-05-21,2012-05-23,101.8386,102.6709,212,176.45,2.1599,2.1667,4.3266,False,2,RSI_EXIT,True,True,False,IS
QQQ,2012-07-13,2012-07-16,55.5821,56.1342,396,218.64,3.1735,3.1847,6.3581,False,1,RSI_EXIT,True,True,True,IS
XLK,2012-07-13,2012-07-18,11.6992,11.8402,1883,265.39,20.7146,20.8851,41.5998,False,3,RSI_EXIT,True,True,True,IS
XLP,2012-07-25,2012-07-27,24.0577,24.4247,919,337.21,15.8204,16.0375,31.8579,False,2,RSI_EXIT,True,True,False,IS
XLP,2012-08-24,2012-08-28,24.4387,24.6669,908,207.18,15.8097,15.927,31.7367,False,2,RSI_EXIT,True,True,True,IS
XLI,2012-08-31,2012-09-07,28.2598,28.5471,786,225.82,15.1293,15.3057,30.435,False,4,RSI_EXIT,True,True,True,IS
XLF,2012-09-26,2012-10-02,9.8507,9.9636,2262,255.31,22.5722,22.7206,45.2928,False,4,RSI_EXIT,True,True,True,IS
